date,region,product,units,revenue,customer_rating
2024-04-16,North,Phone,2,317.21,4.3
2024-04-17,West,Laptop,29,1763.88,4.3
2024-04-18,South,Monitor,32,938.62,3.9
2024-04-19,North,Laptop,43,1672.77,4.5
2024-04-20,East,Headphones,5,2569.17,3.5
2024-04-21,South,Phone,48,2019.81,3.9
2024-04-22,North,Headphones,31,2749.31,3.6
2024-04-23,South,Laptop,5,1879.17,3.7
2024-04-24,South,Tablet,1,1550.78,4.0
2024-04-25,South,Laptop,44,1570.92,4.4
2024-04-26,West,Tablet,30,1505.75,3.2
2024-04-27,South,Monitor,20,2938.75,4.9
2024-04-28,East,Laptop,30,414.1,4.0
2024-04-29,East,Headphones,25,787.54,4.9
2024-04-30,North,Phone,38,452.85,4.5
2024-05-01,East,Tablet,9,1889.42,4.3
2024-05-02,North,Tablet,46,1222.53,4.0
2024-05-03,West,Headphones,2,645.38,4.9
2024-05-04,West,Headphones,20,2236.11,3.8
2024-05-05,East,Headphones,8,2552.65,3.0
2024-05-06,West,Tablet,8,2831.67,3.4
2024-05-07,East,Laptop,17,1242.22,3.8
2024-05-08,North,Monitor,24,2791.16,4.5
2024-05-09,East,Laptop,7,344.53,4.3
2024-05-10,South,Phone,18,1421.47,3.6
2024-05-11,West,Tablet,2,2473.49,4.3
2024-05-12,South,Monitor,47,425.62,4.9
2024-05-13,West,Headphones,40,2307.47,4.3
2024-05-14,West,Tablet,4,2753.33,4.1
2024-05-15,West,Phone,27,1162.26,3.6
2024-05-16,West,Tablet,42,868.26,4.0
2024-05-17,North,Headphones,11,2000.97,3.2
2024-05-18,West,Monitor,36,816.07,4.8
2024-05-19,West,Headphones,9,1733.8,3.5
2024-05-20,East,Phone,36,455.06,3.5
2024-05-21,South,Tablet,2,2299.04,3.8
2024-05-22,South,Headphones,25,956.67,4.5
2024-05-23,East,Headphones,37,2909.52,3.3
2024-05-24,South,Monitor,6,958.86,3.5
2024-05-25,West,Headphones,28,2871.04,4.7
2024-05-26,South,Laptop,3,1390.56,4.5
2024-05-27,West,Headphones,1,404.79,4.9
2024-05-28,West,Monitor,29,895.7,3.2
2024-05-29,South,Phone,34,2921.29,3.2
2024-05-30,North,Headphones,36,2375.21,3.0
2024-05-31,South,Phone,37,2775.78,4.3
2024-06-01,South,Tablet,41,905.02,4.3
2024-06-02,North,Laptop,5,1040.98,4.9
2024-06-03,West,Phone,17,826.03,4.2
2024-06-04,East,Laptop,30,980.09,3.6
2024-06-05,West,Phone,34,857.35,3.5
2024-06-06,East,Headphones,4,261.0,4.0
2024-06-07,North,Headphones,17,837.95,3.8
2024-06-08,South,Tablet,32,295.47,3.7
2024-06-09,East,Headphones,44,1309.8,3.0
2024-06-10,North,Tablet,14,1587.95,3.4
2024-06-11,South,Phone,30,820.04,4.5
2024-06-12,North,Tablet,40,1588.14,3.4
2024-06-13,West,Phone,27,2749.11,3.1
2024-06-14,South,Monitor,26,352.2,3.0
2024-06-15,South,Monitor,27,345.15,3.1
2024-06-16,West,Headphones,46,2674.03,4.5
2024-06-17,South,Laptop,22,733.91,4.3
2024-06-18,West,Monitor,3,1073.12,4.5
2024-06-19,East,Tablet,29,673.93,3.0
2024-06-20,North,Tablet,23,1376.51,4.8
2024-06-21,South,Monitor,25,1198.56,4.6
2024-06-22,North,Headphones,4,2174.72,3.4
2024-06-23,West,Monitor,13,1105.27,4.5
2024-06-24,North,Headphones,41,1350.25,4.6
2024-06-25,North,Headphones,25,297.59,3.1
2024-06-26,East,Laptop,13,2292.4,4.8
2024-06-27,East,Tablet,18,1137.92,4.9
2024-06-28,East,Laptop,48,2206.58,3.6
2024-06-29,East,Tablet,1,2220.4,4.2
2024-06-30,North,Laptop,15,500.33,4.4
2024-07-01,West,Headphones,17,2757.92,4.6
2024-07-02,West,Phone,12,224.37,4.9
2024-07-03,South,Tablet,39,861.2,4.7
2024-07-04,East,Headphones,39,421.24,3.4
2024-07-05,South,Phone,27,381.25,3.1
2024-07-06,East,Monitor,11,2944.72,4.8
2024-07-07,East,Laptop,40,435.43,3.2
2024-07-08,West,Headphones,12,855.75,3.8
2024-07-09,South,Monitor,48,1707.98,4.5
2024-07-10,East,Laptop,19,982.31,3.5
2024-07-11,East,Tablet,13,1430.31,3.4
2024-07-12,South,Phone,19,2675.67,4.2
2024-07-13,North,Tablet,26,904.63,3.5
2024-07-14,South,Monitor,42,2463.64,4.3
2024-07-15,North,Laptop,1,1529.34,4.6
2024-07-16,East,Headphones,3,2655.27,3.5
2024-07-17,South,Laptop,39,2924.3,4.2
2024-07-18,East,Laptop,33,2625.16,3.9
2024-07-19,North,Tablet,7,1984.88,4.4
2024-07-20,South,Tablet,3,1232.38,3.3
2024-07-21,East,Phone,3,1878.39,4.3
2024-07-22,North,Phone,21,1345.19,3.7
2024-07-23,East,Monitor,5,769.54,4.6
2024-07-24,West,Monitor,5,1342.88,4.6
2024-07-25,South,Monitor,41,1695.19,4.3
2024-07-26,East,Headphones,27,2967.07,4.3
2024-07-27,North,Headphones,20,2286.95,4.8
2024-07-28,West,Headphones,2,2619.89,5.0
2024-07-29,South,Tablet,26,2238.49,3.4
2024-07-30,West,Laptop,11,1386.51,4.6
2024-07-31,East,Headphones,30,2364.55,3.3
2024-08-01,South,Laptop,42,2458.11,3.8
2024-08-02,East,Monitor,48,1612.5,3.3
2024-08-03,South,Tablet,34,681.0,3.1
2024-08-04,West,Headphones,49,2453.48,4.9
2024-08-05,East,Phone,9,2544.42,3.1
2024-08-06,East,Headphones,4,1901.41,4.3
2024-08-07,South,Laptop,41,2400.31,3.4
2024-08-08,South,Headphones,31,712.3,3.4
2024-08-09,South,Headphones,25,1205.78,3.3
2024-08-10,North,Phone,36,2558.96,4.3
2024-08-11,North,Tablet,25,1878.66,4.1
2024-08-12,West,Tablet,20,1831.35,3.9
2024-08-13,West,Tablet,33,1427.39,3.0
2024-08-14,West,Monitor,30,858.7,4.5
2024-08-15,South,Headphones,31,1320.96,3.1
2024-08-16,West,Tablet,24,456.8,3.9
2024-08-17,North,Monitor,3,1982.02,3.2
2024-08-18,North,Tablet,4,2305.76,4.8
2024-08-19,North,Phone,5,2989.15,4.5
2024-08-20,South,Laptop,9,2948.84,4.0
2024-08-21,South,Phone,5,2532.5,4.2
2024-08-22,South,Tablet,21,2710.3,3.5
2024-08-23,South,Headphones,17,1606.21,4.8
2024-08-24,East,Phone,40,1616.82,3.6
2024-08-25,South,Laptop,12,1329.7,4.3
2024-08-26,East,Tablet,25,672.48,4.6
2024-08-27,North,Laptop,41,2603.21,4.9
2024-08-28,North,Headphones,17,2980.27,4.3
2024-08-29,East,Headphones,17,1252.07,3.7
2024-08-30,East,Phone,22,2340.99,3.9
2024-08-31,North,Phone,19,2495.51,3.5
2024-09-01,East,Monitor,47,205.01,3.1
2024-09-02,East,Phone,40,1951.73,3.8
2024-09-03,North,Tablet,9,1567.5,4.2
2024-09-04,North,Laptop,4,207.32,3.7
2024-09-05,East,Laptop,35,827.93,4.2
2024-09-06,South,Monitor,14,1225.46,4.7
2024-09-07,South,Phone,1,2822.45,3.5
2024-09-08,West,Phone,7,378.27,3.3
2024-09-09,West,Tablet,17,2907.98,3.1
2024-09-10,East,Monitor,39,2007.69,3.9
2024-09-11,West,Monitor,16,662.28,3.0
2024-09-12,North,Laptop,26,719.84,3.3
2024-09-13,North,Laptop,40,1742.58,4.9
2024-09-14,West,Phone,13,1651.12,4.3
2024-09-15,South,Headphones,33,1066.27,3.6
2024-09-16,West,Laptop,46,1707.54,3.8
2024-09-17,West,Headphones,6,2276.91,3.9
2024-09-18,North,Phone,17,850.43,3.1
2024-09-19,East,Tablet,46,347.09,4.3
2024-09-20,East,Headphones,19,1997.61,4.9
2024-09-21,North,Phone,33,242.64,3.5
2024-09-22,South,Phone,11,2289.22,3.7
2024-09-23,East,Headphones,39,869.67,4.8
2024-09-24,West,Monitor,31,2551.19,4.4
2024-09-25,West,Laptop,47,854.72,4.8
2024-09-26,West,Phone,40,1838.93,4.1
2024-09-27,South,Phone,3,275.33,3.2
2024-09-28,East,Phone,10,2162.07,3.1
2024-09-29,North,Phone,45,389.92,3.1
2024-09-30,East,Monitor,13,2489.17,4.6
2024-10-01,West,Laptop,7,890.42,3.4
2024-10-02,North,Laptop,49,1975.68,4.7
2024-10-03,West,Tablet,7,571.43,4.6
2024-10-04,East,Phone,21,1142.24,3.5
2024-10-05,East,Tablet,19,335.54,4.5
2024-10-06,West,Tablet,19,1931.17,3.1
2024-10-07,North,Headphones,28,1652.14,3.2
2024-10-08,North,Headphones,35,1785.07,4.4
2024-10-09,East,Laptop,11,1420.96,4.0
2024-10-10,North,Tablet,1,1173.85,3.2
2024-10-11,West,Phone,38,1172.12,4.7
2024-10-12,South,Tablet,19,2482.67,4.9
2024-10-13,West,Phone,11,507.79,4.3
2024-10-14,West,Laptop,45,1771.51,3.2
2024-10-15,East,Tablet,7,1323.56,3.8
2024-10-16,West,Laptop,42,270.49,3.4
2024-10-17,West,Tablet,35,1603.33,3.8
2024-10-18,West,Phone,9,1688.32,4.5
2024-10-19,North,Monitor,23,1828.43,4.0
2024-10-20,East,Headphones,11,1496.84,4.4
2024-10-21,South,Tablet,9,1135.35,4.3
2024-10-22,South,Phone,18,1044.22,4.4
2024-10-23,South,Monitor,47,636.76,3.5
2024-10-24,East,Tablet,11,861.4,4.9
2024-10-25,North,Tablet,11,2894.68,3.2
2024-10-26,South,Headphones,10,2425.69,4.5
2024-10-27,East,Headphones,13,505.98,4.8
2024-10-28,South,Tablet,25,1498.97,3.0
2024-10-29,South,Headphones,33,2946.47,3.6
2024-10-30,South,Laptop,17,1890.38,3.8
2024-10-31,West,Phone,45,1807.14,4.5
2024-11-01,South,Headphones,43,2222.21,4.8
2024-11-02,South,Monitor,44,708.21,3.2
2024-11-03,East,Headphones,17,1959.18,3.2
2024-11-04,South,Headphones,26,2196.82,4.3
2024-11-05,West,Tablet,31,1474.54,4.2
2024-11-06,South,Headphones,42,1118.55,3.0
2024-11-07,North,Headphones,3,903.42,3.4
2024-11-08,East,Phone,7,2572.05,3.9
2024-11-09,West,Phone,33,245.1,4.6
2024-11-10,East,Tablet,27,2277.91,3.9
2024-11-11,West,Phone,33,2335.56,3.2
2024-11-12,East,Monitor,41,358.53,3.5
2024-11-13,North,Headphones,1,410.52,4.8
2024-11-14,East,Tablet,7,828.4,4.5
2024-11-15,South,Monitor,26,1493.93,3.3
2024-11-16,South,Laptop,31,1998.16,4.4
2024-11-17,East,Phone,43,1988.63,4.6
2024-11-18,West,Headphones,19,2327.69,4.3
2024-11-19,East,Headphones,15,948.79,3.8
2024-11-20,West,Tablet,44,720.49,3.0
2024-11-21,East,Tablet,16,2032.33,3.6
2024-11-22,West,Headphones,40,1984.44,4.3
2024-11-23,South,Tablet,20,2592.45,3.1
2024-11-24,East,Monitor,9,1685.81,3.7
2024-11-25,North,Monitor,43,232.14,4.9
2024-11-26,East,Tablet,39,484.23,3.3
2024-11-27,South,Phone,50,1465.49,4.6
2024-11-28,West,Phone,35,670.16,4.8
2024-11-29,North,Monitor,43,2724.6,4.1
2024-11-30,South,Tablet,32,2139.82,4.1
2024-12-01,North,Headphones,36,531.58,3.8
2024-12-02,West,Phone,32,1760.17,4.0
2024-12-03,West,Phone,16,1594.89,4.1
2024-12-04,South,Laptop,21,1510.29,4.1
2024-12-05,West,Tablet,24,1392.28,5.0
2024-12-06,South,Laptop,41,1209.05,4.3
2024-12-07,North,Laptop,44,2262.32,5.0
2024-12-08,West,Laptop,32,2320.08,3.3
2024-12-09,West,Phone,41,555.32,3.2
2024-12-10,East,Tablet,31,2379.87,4.1
2024-12-11,East,Phone,28,1157.47,3.5
2024-12-12,East,Laptop,19,1194.5,4.0
2024-12-13,East,Tablet,33,1165.47,3.4
2024-12-14,North,Headphones,22,738.46,4.4
2024-12-15,North,Phone,3,1316.86,4.1
2024-12-16,North,Headphones,26,1041.14,3.0
2024-12-17,West,Phone,39,2344.75,3.1
2024-12-18,West,Monitor,40,611.74,4.3
2024-12-19,North,Monitor,14,310.53,4.3
2024-12-20,North,Phone,43,707.63,3.1
2024-12-21,North,Laptop,24,2641.38,3.3
2024-12-22,East,Tablet,20,717.37,3.1
2024-12-23,West,Laptop,37,1996.94,4.9
2024-12-24,West,Laptop,37,1662.03,4.6
2024-12-25,West,Headphones,29,388.21,4.4
2024-12-26,South,Monitor,31,2355.68,4.1
2024-12-27,West,Laptop,14,2708.16,4.3
2024-12-28,North,Headphones,1,2114.53,3.2
2024-12-29,South,Laptop,8,561.11,3.0
2024-12-30,South,Monitor,29,2253.96,3.4
2024-01-01,East,Laptop,50,2292.28,4.4
2024-01-02,North,Phone,19,1960.14,4.4
2024-01-03,East,Headphones,4,2208.19,3.0
2024-01-04,North,Laptop,25,1070.98,4.5
2024-01-05,West,Phone,39,367.38,3.7
2024-01-06,West,Monitor,31,2095.26,3.3
2024-01-07,East,Laptop,42,659.27,4.6
2024-01-08,West,Headphones,50,2401.48,4.9
2024-01-09,East,Monitor,19,983.74,4.2
2024-01-10,East,Monitor,39,2231.99,3.0
2024-01-11,East,Phone,38,1399.97,4.8
2024-01-12,West,Headphones,44,1253.36,4.5
2024-01-13,West,Phone,19,2127.95,3.6
2024-01-14,West,Tablet,11,1842.6,4.6
2024-01-15,East,Laptop,10,2472.91,4.7
2024-01-16,South,Monitor,18,2931.04,4.6
2024-01-17,West,Monitor,23,1696.76,4.1
2024-01-18,West,Headphones,13,2405.53,4.4
2024-01-19,East,Phone,39,361.17,3.8
2024-01-20,East,Phone,38,2303.17,4.6
2024-01-21,North,Headphones,35,2458.41,4.5
2024-01-22,West,Phone,38,1658.91,3.5
2024-01-23,East,Monitor,31,1617.27,3.4
2024-01-24,South,Phone,6,705.94,4.4
2024-01-25,East,Tablet,26,2382.99,4.7
2024-01-26,North,Phone,32,1247.31,3.2
2024-01-27,North,Headphones,10,1084.21,3.1
2024-01-28,North,Tablet,7,294.02,5.0
2024-01-29,West,Monitor,38,1788.12,3.5
2024-01-30,West,Tablet,7,2850.2,4.5
2024-01-31,South,Monitor,17,2562.49,3.7
2024-02-01,West,Phone,6,277.05,3.1
2024-02-02,West,Tablet,32,2852.17,4.8
2024-02-03,West,Laptop,8,2177.85,3.2
2024-02-04,South,Tablet,42,451.39,4.8
